Disease,Symptom 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10
Tiểu đường,mờ mắt,giảm cân không rõ lý do,nhiễm trùng thường xuyên,lành vết thương chậm,mệt mỏi,tiểu nhiều lần,thèm ăn cực độ,,,
Đột quỵ,yếu một bên cơ thể,đau đầu dữ dội,khó nhìn,mất phối hợp,tê bì đột ngột,khó đi lại,,,,
Herpes,buồn nôn,đau cơ,vết loét trên cơ thể,ngứa,vùng da đau nhức,phát ban,đau khi tiểu,đau đầu,mệt mỏi,
Rối loạn phổ tự kỷ (ASD),thiếu khả năng diễn đạt cảm xúc,không thích sự thay đổi,khó duy trì các mối quan hệ,mất tập trung,hành vi lặp lại,không hiểu cảm xúc người khác,khó khăn trong giao tiếp xã hội,,,
Động kinh,run,mơ hồ sau cơn co giật,mơ hồ,mất trí nhớ tạm thời,chuyển động không kiểm soát,chuột rút cơ,cảm giác trước khi co giật,mất ý thức,,
Bệnh Myasthenia,khó nuốt,khó thở,đầy bụng,yếu khi mệt mỏi,đau cơ,khó ngủ,khó thở khi ngủ,yếu cơ,,
Bệnh máu khó đông,đau khớp,đau bụng,xuất huyết trong cơ,dễ bầm tím,chảy máu răng,,,,,
Thai ngoài tử cung,chóng mặt,mệt mỏi,đau khi ho,cảm giác nặng bụng,thở dốc,chậm kinh,đau khi đi vệ sinh,buồn nôn,đau bụng dữ dội,
Bệnh Lyme,tim đập nhanh,đau đầu,phát ban hình mắt bò,sốt,tê tay chân,cứng cổ,đau cơ,mệt mỏi,đau khớp,
Lymphoma,đau bụng,ra mồ hôi đêm,chán ăn,rùng mình,ngứa,giảm cân không rõ lý do,sốt,mệt mỏi,nhiễm trùng thường xuyên,hạch bạch huyết sưng
Loãng xương,gãy xương dễ dàng,đau cổ,mỏi cơ,chuột rút,dáng cong,cứng khớp,giảm chiều cao,,,
Schizophrenia,thay đổi hành vi,thất vọng,khó tập trung,lo âu,ảo giác,cảm giác lạc lõng,lú lẫn,mất hứng thú,,
Tiểu đường,mờ mắt,lành vết thương chậm,tiểu nhiều lần,mệt mỏi,nhiễm trùng thường xuyên,,,,,
Ngộ độc thực phẩm,tiêu chảy,khó tiêu,nôn mửa,đau bụng,đau đầu,,,,,
Trào ngược dạ dày thực quản,ho khan,khó thở,chảy máu thực quản,khó nuốt,đau ngực,chứng ợ nóng,,,,
Lạc nội mạc tử cung,đau bụng,mệt mỏi,đau khi quan hệ,chảy máu giữa kỳ kinh,đau vùng chậu,rối loạn tiêu hóa,đau khi đi tiểu,kinh nguyệt không đều,tiểu buốt,
HIV,mệt mỏi,khó thở,sút cân,viêm hạch bạch huyết,sốt,đau cơ,đổ mồ hôi ban đêm,chán ăn,phát ban,
Cường giáp,sụt cân,khó chịu với nóng,mệt mỏi,nhịp tim nhanh,kích động,,,,,
Tiểu đường,nhiễm trùng thường xuyên,tê hoặc ngứa,lành vết thương chậm,mệt mỏi,giảm cân không rõ lý do,tiểu nhiều lần,da khô,thèm ăn cực độ,khát nước,
Vô sinh,rối loạn nội tiết,khó thụ thai,cảm giác trầm cảm,sút cân,đau bụng,,,,,
Syphilis,phát ban da,viêm hạch,sốt,đau cơ,vết loét không đau,mệt mỏi,rối loạn tiêu hóa,,,
Suy giáp,kinh nguyệt không đều,trầm cảm,khó chịu với lạnh,phù mặt,rụng tóc,,,,,
Viêm não,sốt cao,cứng cổ,buồn nôn,suy giảm nhận thức,mệt mỏi,,,,,
Ung thư đại trực tràng,đau khi đi tiêu,màu phân thay đổi,khó tiêu,thay đổi thói quen đi tiêu,nôn mửa,sút cân không rõ lý do,mệt mỏi,,,
Táo bón,đầy bụng,sút cân,đau bụng,đầy hơi,cảm giác nặng nề,mất cảm giác thèm ăn,cảm giác không thể đi vệ sinh hết,khó đi tiêu,,
U ác tính,ho kéo dài,khó thở,sốt,mệt mỏi,đau ngực,giảm cân không rõ lý do,,,,
Hen suyễn,thở dài,dịch nhầy quá nhiều,khó thở khi vận động,khò khè,khó thở,ho,đau ngực,khó thở,mệt mỏi,thở nhanh
Tăng huyết áp,đau ngực,đau đầu,vấn đề về thị lực,chảy máu cam,mơ hồ,chóng mặt,,,,
Hội chứng buồng trứng đa nang (PCOS),mụn trứng cá,tăng cân,đau bụng,rối loạn nội tiết,kinh nguyệt không đều,mọc nhiều lông,da dầu,khó thụ thai,rối loạn tâm lý,
Ung thư tinh hoàn,đau khi quan hệ,thay đổi hình dáng tinh hoàn,đau lưng,sút cân,khó thở,,,,,
Rối loạn ám ảnh cưỡng chế (OCD),không thể ngừng suy nghĩ về một điều gì đó,sợ hãi không kiểm soát được,khó kiểm soát cảm xúc,cảm giác cần phải làm theo một cách cụ thể,lặp lại hành động hoặc suy nghĩ,mặc cảm tội lỗi,mất thời gian vào suy nghĩ tiêu cực,lo ngại về sự không sạch sẽ,,
Rubella,đau cơ,đau đầu,đau họng,hạch bạch huyết sưng,sốt,phát ban,đau khớp,ho,mệt mỏi,chán ăn
Cường giáp,sụt cân,đau ngực,đổ mồ hôi nhiều,khó chịu với nóng,mệt mỏi,run tay,nhịp tim nhanh,rụng tóc,khó ngủ,kích động
Táo bón,đầy bụng,đầy hơi,cảm giác nặng nề,đau khi đi tiêu,đau bụng,sút cân,mệt mỏi,khó đi tiêu,cảm giác không thể đi vệ sinh hết,
Loãng xương,chuột rút,gãy xương dễ dàng,đau cổ,yếu cơ,cứng khớp,dáng cong,mỏi cơ,giảm chiều cao,đau lưng,
Cường giáp,run tay,đổ mồ hôi nhiều,khó ngủ,khó chịu với nóng,sụt cân,rụng tóc,mệt mỏi,kích động,,
Cảm cúm,ho,nghẹt mũi,đau họng,nôn,sốt,rùng mình,mệt mỏi,đau đầu,đau cơ,sổ mũi
Sẩy thai,đau bụng,đau lưng,ra máu âm đạo,khó tiêu,đau khi quan hệ,khó thở,rối loạn nội tiết,buồn nôn,mệt mỏi,vàng da
Sởi,phát ban,đau cơ,đau họng,đốm trắng trong miệng,mệt mỏi,chán ăn,,,,
Viêm khớp dạng thấp,sưng khớp,mệt mỏi,trầm cảm,sốt,tê,cứng khớp buổi sáng,chán ăn,,,
Bệnh Myasthenia,đầy bụng,mệt mỏi,yếu cơ,khó ngủ,khó thở khi ngủ,đau cơ,yếu cơ mặt,khó thở,,
Tiền sản giật,nôn mửa,khó thở,mắt nhìn mờ,sưng chân tay,sốt,,,,,
Syphilis,rối loạn tiêu hóa,đau cơ,mệt mỏi,khó nuốt,đau họng,phát ban da,sốt,,,
Chân vận động viên,vảy da,mùi hôi chân,sưng tấy,vết nứt da,da bong tróc,ngứa giữa các ngón chân,đau khi đi,châm chích,da đỏ,sưng và đỏ lòng bàn chân
Syphilis,đau cơ,sốt,rối loạn tiêu hóa,đau họng,đau đầu,khó nuốt,vết loét không đau,,,
Rubella,ho,đau họng,mệt mỏi,đau khớp,chán ăn,phát ban,sốt,,,
Ngưng thở khi ngủ,tỉnh giấc đột ngột,khô miệng khi thức dậy,buồn ngủ ban ngày,thở dốc khi ngủ,đau đầu,ngáy to,khó tập trung,,,
Mumps,sưng tuyến nước bọt,nuốt đau,đau cơ,sốt,đau nhức,chán ăn,,,,
Bệnh phổi tắc nghẽn mãn tính (COPD),khó thở,khò khè,ho kéo dài,tiếng thở có âm thanh,mệt mỏi,,,,,
Bệnh bạch cầu,dễ bầm tím,da tái nhợt,giảm cân không rõ lý do,sốt,đau xương,nhiễm trùng thường xuyên,mệt mỏi,,,
Thoái hóa khớp,đau khớp,lạo xạo trong khớp,đỏ xung quanh khớp,mệt mỏi,giảm khả năng vận động,,,,,
Hội chứng ruột kích thích,đầy hơi,táo bón,mệt mỏi,nước tiểu sẫm màu,buồn nôn,sụt cân,tiêu chảy,đau bụng,đau khi đi vệ sinh,
Rối loạn ám ảnh cưỡng chế (OCD),hoặc làm điều gì đó,lo lắng quá mức,mất thời gian vào suy nghĩ tiêu cực,khó kiểm soát cảm xúc,cảm giác cần phải làm theo một cách cụ thể,,,,,
Xơ gan,xuất huyết,mệt mỏi,vàng da,mạch máu nổi rõ trên da,sút cân,bụng sưng to,giảm cơ,ngứa,buồn nôn,tinh thần lú lẫn
Xơ gan,tinh thần lú lẫn,ngứa,xuất huyết,sút cân,mệt mỏi,,,,,
Viêm khớp,nhiệt độ khớp,mệt mỏi,đau khớp,biến dạng khớp,yếu,sưng tấy,cứng khớp,đau nhức,,
Thoái hóa khớp,đau buổi sáng,mệt mỏi,lạo xạo trong khớp,đau dai dẳng,đau khớp,giảm khả năng vận động,đỏ xung quanh khớp,yếu cơ,sưng tấy,cứng khớp
Rubella,mệt mỏi,đau khớp,đau cơ,phát ban,đau họng,chán ăn,đau đầu,,,
Bệnh Parkinson,cúi người,đi bộ lê từng bước,thay đổi giọng nói,khó đi lại,vấn đề cân bằng,cứng cơ,run,,,
Ung thư phổi,giảm cân,ho ra máu,khò khè,ho có đờm,chán ăn,,,,,
Chlamydia,mệt mỏi,tiểu buốt,đau bụng dưới,đau khi quan hệ,ra dịch âm đạo bất thường,sốt,vùng kín sưng,đau khi đi tiểu,ngứa,đau lưng
Vô sinh,chậm kinh,sút cân,đau khi quan hệ,đau bụng,khó thụ thai,tăng cân,,,,
Bệnh lao,sốt,ho dai dẳng,giảm cân,hạch bạch huyết sưng,đau ngực,mệt mỏi,ho ra máu,,,
Cảm cúm,mệt mỏi,sổ mũi,nghẹt mũi,đau cơ,sốt,ho,,,,
Virus Zika,viêm kết mạc,đau đầu,phát ban,sưng khớp,đau bụng,buồn nôn,mệt mỏi,,,
Chân vận động viên,vết nứt da,đau khi đi,vảy da,da đỏ,da bong tróc,ngứa giữa các ngón chân,sưng tấy,,,
Ung thư bàng quang,đi tiểu thường xuyên,đau xương chậu,mệt mỏi,sút cân,tiểu ra máu,buồn nôn,đau lưng dưới,khó tiểu,đau khi tiểu,
Rối loạn ám ảnh cưỡng chế (OCD),cảm giác cần phải làm theo một cách cụ thể,mất thời gian vào suy nghĩ tiêu cực,sợ hãi không kiểm soát được,lo lắng quá mức,không thể ngừng suy nghĩ về một điều gì đó,lặp lại hành động hoặc suy nghĩ,lo ngại về sự không sạch sẽ,khó kiểm soát cảm xúc,,
Bệnh bạch cầu,đau bụng,đau xương,dễ bầm tím,sốt,giảm cân không rõ lý do,,,,,
Ung thư bàng quang,khó tiểu,đau lưng dưới,đau khi tiểu,buồn nôn,đi tiểu thường xuyên,tiểu không hết,,,,
Viêm loét đại tràng,buồn nôn,tăng tần suất đi vệ sinh,đau trực tràng,giảm cân,tiêu chảy có máu,thiếu máu,đau bụng,mệt mỏi,sốt,mũi trong phân
Ung thư buồng trứng,đau bụng,sút cân không rõ lý do,mệt mỏi,chảy máu âm đạo bất thường,chướng bụng,khó tiêu,đau khi quan hệ,,,
Zona,buồn nôn,đau đầu,ngứa,nhạy cảm với ánh sáng,đau nhức,cảm giác cháy,sốt,mệt mỏi,phỏng rộp,
Xơ nang,da có vị mặn,nhiễm trùng xoang thường xuyên,khó thở,tăng trưởng kém,ho mãn tính,,,,,
Dại,đau đầu,kích động,khó nuốt,bị liệt,co giật,,,,,
Bệnh Lyme,tê tay chân,ớn lạnh,tim đập nhanh,đau khớp,phát ban hình mắt bò,cứng cổ,đau đầu,,,
Trầm cảm,giảm khả năng tập trung,cảm giác có lỗi,cảm giác vô vọng,suy nghĩ tiêu cực,buồn bã,nghĩ đến cái chết,không có hứng thú với các hoạt động,khó ngủ,mệt mỏi,
Rối loạn phổ tự kỷ (ASD),không hiểu cảm xúc người khác,lặp lại hành động hoặc lời nói,mất tập trung,hành vi lặp lại,khó khăn trong giao tiếp xã hội,thiếu sự quan tâm đến trò chơi nhóm,thiếu khả năng diễn đạt cảm xúc,vấn đề với tương tác xã hội,,
Thoát vị,đau vùng bụng,đau khi ho hoặc căng thẳng,đau khi di chuyển,cảm giác nặng nề,sưng vùng bụng,tăng áp lực khi đi vệ sinh,,,,
Bệnh bạch cầu,ra mồ hôi đêm,da tái nhợt,mệt mỏi,hạch bạch huyết sưng,đau bụng,nhiễm trùng thường xuyên,sốt,dễ bầm tím,giảm cân không rõ lý do,đau xương
Hội chứng buồng trứng đa nang (PCOS),tăng cân,rối loạn tâm lý,mọc nhiều lông,mụn trứng cá,khó thụ thai,,,,,
Viêm khớp,cứng khớp,đau nhức,đỏ xung quanh khớp,yếu,giảm phạm vi vận động,nhiệt độ khớp,,,,
Viêm dạ dày,tiêu chảy,chán ăn,cảm giác nặng bụng,nôn mửa,đau thượng vị,buồn nôn,đầy hơi,,,
Rối loạn lưỡng cực,suy nghĩ nhanh,cảm giác bồn chồn,thay đổi đột ngột tâm trạng,trầm cảm,mất ngủ,nói nhiều,cảm giác cực kỳ vui vẻ,dễ nổi giận,khó khăn trong kiểm soát cảm xúc,
Suy tim,sưng phù,mệt mỏi,tiểu thường xuyên,thở khò khè,khó thở,chán ăn,ho dai dẳng,tăng cân,,
Nhồi máu cơ tim,buồn nôn,chứng khó tiêu,chóng mặt,mệt mỏi,ra mồ hôi,đau ngực,đau dạ dày,đau hàm,,
Hội chứng buồng trứng đa nang (PCOS),đau bụng,khó thụ thai,tăng cân,da dầu,kinh nguyệt không đều,vấn đề về da,rối loạn tâm lý,mọc nhiều lông,rối loạn nội tiết,
Trầm cảm,nghĩ đến cái chết,buồn bã,cảm giác có lỗi,mệt mỏi,khó ngủ,cảm giác vô vọng,sút cân hoặc tăng cân,,,
Rối loạn phổ tự kỷ (ASD),thiếu khả năng diễn đạt cảm xúc,không thích sự thay đổi,vấn đề với tương tác xã hội,hành vi lặp lại,không hiểu cảm xúc người khác,lặp lại hành động hoặc lời nói,mất tập trung,khó khăn trong giao tiếp xã hội,khó duy trì các mối quan hệ,
Lupus ban đỏ hệ thống,chóng mặt,khó thở,đau khớp,rụng tóc,sốt,mệt mỏi,da sạm,đau ngực,viêm màng phổi,
Ngộ độc thực phẩm,buồn nôn,nôn mửa,đau đầu,đầy hơi,khó tiêu,đau bụng,sốt,mệt mỏi,,
Rối loạn phổ tự kỷ (ASD),khó duy trì các mối quan hệ,khó khăn trong giao tiếp xã hội,lặp lại hành động hoặc lời nói,không thích sự thay đổi,hành vi lặp lại,không hiểu cảm xúc người khác,thiếu sự quan tâm đến trò chơi nhóm,mất tập trung,,
Bệnh gan,chán ăn,ngứa,dễ bị bầm tím,sưng chân,nước tiểu màu đậm,buồn nôn,,,,
Bệnh cơ xơ hóa,đau khớp,hạn chế tầm vận động,đau cơ,suy giảm khả năng di chuyển,khó thở,mất cân bằng điện giải,,,,
Tiểu đường thai kỳ,nôn mửa,mệt mỏi,khó thở,buồn nôn,sút cân,,,,,
Bệnh gan,phân nhạt màu,mệt mỏi,sưng chân,dễ bị bầm tím,vàng da,nước tiểu màu đậm,chán ăn,,,
Lupus,đau khớp,mệt mỏi,đau ngực,sút cân,cảm giác lạnh,phát ban mặt,mất tóc,,,
Nấm da,mẩn đỏ,da khô,sưng da,đau khi chạm vào,lột da,tạo vết nứt,vết thương lâu lành,,,
Schizophrenia,khó tập trung,cảm giác lạc lõng,trầm cảm,lú lẫn,thay đổi hành vi,,,,,
COVID-19,mệt mỏi,ho,sốt,đau họng,đau đầu,nghẹt mũi,đau cơ,khó thở,mất vị giác hoặc khứu giác,
Hội chứng chân không yên,khó tập trung,cảm giác khó chịu ở chân,buồn bực,cảm giác châm chích,rối loạn giấc ngủ,mất ngủ,không kiểm soát được chuyển động chân,đau rát,ngứa ran,mệt mỏi ban ngày
Viêm màng não,mệt mỏi,đau cơ,cứng cổ,sốt cao,sợ ánh sáng,đau đầu dữ dội,buồn nôn,lú lẫn,co giật,hôn mê
Bệnh Myasthenia,khó thở khi ngủ,khó thở,đầy bụng,yếu cơ mặt,khó ngủ,yếu khi mệt mỏi,,,,
Sản giật,huyết áp cao,đau đầu,co giật,nôn mửa,mất ý thức,mệt mỏi,khó thở,sưng tay chân,đau bụng,
Gout,buồn nôn,sưng khớp,sút cân,cảm giác nóng ở khớp,đau lưng,tiểu gắt,,,,
Thiếu máu hồng cầu hình liềm,vàng da,khó thở,buồn nôn,sút cân,da nhợt nhạt,đau ngực,chóng mặt,,,
Schizophrenia,lo âu,hoang tưởng,mất hứng thú,trầm cảm,thất vọng,lú lẫn,,,,
Thiếu sắt,chân tay lạnh,khó thở,đau đầu,tim đập nhanh,da nhợt nhạt,mệt mỏi,móng tay dễ gãy,khó tập trung,rụng tóc,chóng mặt
Ung thư cổ tử cung,giảm cân,đau vùng chậu,đau lưng,mệt mỏi,chảy máu âm đạo bất thường,,,,,
Lo âu,mệt mỏi,run rẩy,đau ngực,khó thở,hồi hộp,cảm giác bất an,,,,
Sởi,sốt,ho,mệt mỏi,đau cơ,đau họng,chán ăn,,,,
Tiêu chảy,đau khi đi tiêu,đau bụng,sốt,mất nước,khó chịu,mệt mỏi,,,,
Viêm khớp,đỏ xung quanh khớp,giảm phạm vi vận động,đau nhức,nhiệt độ khớp,sưng tấy,đau khớp,biến dạng khớp,,,
HIV/AIDS,buồn nôn,phát ban da,sốt,ho khô kéo dài,hạch bạch huyết sưng,đau đầu,tiêu chảy,giảm cân,mệt mỏi,
Thiếu máu hồng cầu hình liềm,mệt mỏi,đau bụng,buồn nôn,da nhợt nhạt,đau xương khớp,vàng da,chóng mặt,,,
Viêm bàng quang,nước tiểu đục,tiểu nhiều lần,tiểu đau,mệt mỏi,buồn nôn,cảm giác buồn tiểu liên tục,ớn lạnh,đau bụng dưới,,
Mumps,đau họng,chán ăn,đau nhức,đau đầu,mệt mỏi,,,,,
Tiểu đường thai kỳ,nôn mửa,khó thở,đau đầu,sút cân,mệt mỏi,buồn nôn,nhìn mờ,cảm giác tê ở tay chân,,
Lạc nội mạc tử cung,đau bụng,chảy máu giữa kỳ kinh,rối loạn tiêu hóa,tiểu buốt,đau khi đi tiểu,đau khi quan hệ,mệt mỏi,kinh nguyệt không đều,đau vùng chậu,đau lưng
COVID-19,khó thở,đau đầu,đau cơ,mất vị giác hoặc khứu giác,nghẹt mũi,sốt,mệt mỏi,khó thở,,
Bệnh thận mãn tính,sưng chân,khó thở,tiểu không bình thường,chuột rút cơ,da khô hoặc ngứa,,,,,
Bệnh máu khó đông,mệt mỏi,dễ bầm tím,xuất huyết trong cơ,cảm giác nặng nề ở tay chân,chảy máu mũi,đau bụng,đau khớp,chảy máu bất thường,chảy máu răng,sưng khớp
Nhồi máu cơ tim,đau hàm,khó thở,đau ngực,buồn nôn,chứng khó tiêu,ra mồ hôi,mệt mỏi,,,
Rubella,hạch bạch huyết sưng,đau đầu,phát ban,đau khớp,sốt,mệt mỏi,ho,đau họng,đau cơ,chán ăn
Sỏi mật,vàng da,buồn nôn,đau bụng trên,chán ăn,khó tiêu,,,,,
Chân vận động viên,sưng và đỏ lòng bàn chân,da đỏ,ngứa giữa các ngón chân,đau khi đi,da bong tróc,,,,,
Chán ăn,mất tự tin,buồn nôn,mệt mỏi,suy nhược cơ thể,chóng mặt,giảm cân nhanh,khó ngủ,mất cảm giác thèm ăn,,
Tiểu đường,khát nước,thèm ăn cực độ,da khô,mệt mỏi,nhiễm trùng thường xuyên,tê hoặc ngứa,lành vết thương chậm,mờ mắt,giảm cân không rõ lý do,
Bệnh Behçet,viêm mắt,sưng khớp,sốt,giảm trí nhớ,đau cơ,lở loét miệng,,,,
Sa sút trí tuệ,cảm giác bị mất kiểm soát,mất trí nhớ,lúng túng trong giao tiếp,khó nhớ tên,khó khăn trong việc ra quyết định,,,,,
Bệnh Parkinson,cứng cơ,cúi người,đi bộ lê từng bước,thay đổi giọng nói,khó đi lại,run,vấn đề cân bằng,chậm vận động,,
